observation_id,endpoint,reviewer_a_label,reviewer_a_source,reviewer_b_label,reviewer_b_source,disagreement,adjudicated_label,adjudicator_source,review_status
ko-2021,hard_distress_12m,,,,,,,,pending
ko-2021,financial_deterioration_12m,,,,,,,,pending
ko-2022,hard_distress_12m,,,,,,,,pending
ko-2022,financial_deterioration_12m,,,,,,,,pending
ko-2023,hard_distress_12m,,,,,,,,pending
ko-2023,financial_deterioration_12m,,,,,,,,pending
khc-2021,hard_distress_12m,,,,,,,,pending
khc-2021,financial_deterioration_12m,,,,,,,,pending
khc-2022,hard_distress_12m,,,,,,,,pending
khc-2022,financial_deterioration_12m,,,,,,,,pending
khc-2023,hard_distress_12m,,,,,,,,pending
khc-2023,financial_deterioration_12m,,,,,,,,pending
dis-2021,hard_distress_12m,,,,,,,,pending
dis-2021,financial_deterioration_12m,,,,,,,,pending
dis-2022,hard_distress_12m,,,,,,,,pending
dis-2022,financial_deterioration_12m,,,,,,,,pending
dis-2023,hard_distress_12m,,,,,,,,pending
dis-2023,financial_deterioration_12m,,,,,,,,pending
nflx-2021,hard_distress_12m,,,,,,,,pending
nflx-2021,financial_deterioration_12m,,,,,,,,pending
nflx-2022,hard_distress_12m,,,,,,,,pending
nflx-2022,financial_deterioration_12m,,,,,,,,pending
nflx-2023,hard_distress_12m,,,,,,,,pending
nflx-2023,financial_deterioration_12m,,,,,,,,pending
vz-2021,hard_distress_12m,,,,,,,,pending
vz-2021,financial_deterioration_12m,,,,,,,,pending
vz-2022,hard_distress_12m,,,,,,,,pending
vz-2022,financial_deterioration_12m,,,,,,,,pending
vz-2023,hard_distress_12m,,,,,,,,pending
vz-2023,financial_deterioration_12m,,,,,,,,pending
tmus-2021,hard_distress_12m,,,,,,,,pending
tmus-2021,financial_deterioration_12m,,,,,,,,pending
tmus-2022,hard_distress_12m,,,,,,,,pending
tmus-2022,financial_deterioration_12m,,,,,,,,pending
tmus-2023,hard_distress_12m,,,,,,,,pending
tmus-2023,financial_deterioration_12m,,,,,,,,pending
amt-2021,hard_distress_12m,,,,,,,,pending
amt-2021,financial_deterioration_12m,,,,,,,,pending
amt-2022,hard_distress_12m,,,,,,,,pending
amt-2022,financial_deterioration_12m,,,,,,,,pending
amt-2023,hard_distress_12m,,,,,,,,pending
amt-2023,financial_deterioration_12m,,,,,,,,pending
pld-2021,hard_distress_12m,,,,,,,,pending
pld-2021,financial_deterioration_12m,,,,,,,,pending
pld-2022,hard_distress_12m,,,,,,,,pending
pld-2022,financial_deterioration_12m,,,,,,,,pending
pld-2023,hard_distress_12m,,,,,,,,pending
pld-2023,financial_deterioration_12m,,,,,,,,pending
nue-2021,hard_distress_12m,,,,,,,,pending
nue-2021,financial_deterioration_12m,,,,,,,,pending
nue-2022,hard_distress_12m,,,,,,,,pending
nue-2022,financial_deterioration_12m,,,,,,,,pending
nue-2023,hard_distress_12m,,,,,,,,pending
nue-2023,financial_deterioration_12m,,,,,,,,pending
fcx-2021,hard_distress_12m,,,,,,,,pending
fcx-2021,financial_deterioration_12m,,,,,,,,pending
fcx-2022,hard_distress_12m,,,,,,,,pending
fcx-2022,financial_deterioration_12m,,,,,,,,pending
fcx-2023,hard_distress_12m,,,,,,,,pending
fcx-2023,financial_deterioration_12m,,,,,,,,pending
