observation_id,ticker,sector,fiscal_year,split,acquisition_status,annotation_status,included_in_benchmark
fdx-2023,FDX,Logistics,2023,validation,NOT AVAILABLE,pending,false
ko-2021,KO,Consumer Staples,2021,validation,NOT AVAILABLE,pending,false
ko-2022,KO,Consumer Staples,2022,validation,NOT AVAILABLE,pending,false
ko-2023,KO,Consumer Staples,2023,validation,NOT AVAILABLE,pending,false
khc-2021,KHC,Consumer Staples,2021,validation,NOT AVAILABLE,pending,false
khc-2022,KHC,Consumer Staples,2022,validation,NOT AVAILABLE,pending,false
khc-2023,KHC,Consumer Staples,2023,validation,NOT AVAILABLE,pending,false
dis-2021,DIS,Media,2021,validation,NOT AVAILABLE,pending,false
dis-2022,DIS,Media,2022,validation,NOT AVAILABLE,pending,false
dis-2023,DIS,Media,2023,validation,NOT AVAILABLE,pending,false
nflx-2021,NFLX,Media,2021,validation,NOT AVAILABLE,pending,false
nflx-2022,NFLX,Media,2022,validation,NOT AVAILABLE,pending,false
nflx-2023,NFLX,Media,2023,validation,NOT AVAILABLE,pending,false
vz-2021,VZ,Telecommunications,2021,test,NOT AVAILABLE,pending,false
vz-2022,VZ,Telecommunications,2022,test,NOT AVAILABLE,pending,false
vz-2023,VZ,Telecommunications,2023,test,NOT AVAILABLE,pending,false
tmus-2021,TMUS,Telecommunications,2021,test,NOT AVAILABLE,pending,false
tmus-2022,TMUS,Telecommunications,2022,test,NOT AVAILABLE,pending,false
tmus-2023,TMUS,Telecommunications,2023,test,NOT AVAILABLE,pending,false
amt-2021,AMT,Real Estate,2021,test,NOT AVAILABLE,pending,false
amt-2022,AMT,Real Estate,2022,test,NOT AVAILABLE,pending,false
amt-2023,AMT,Real Estate,2023,test,NOT AVAILABLE,pending,false
pld-2021,PLD,Real Estate,2021,test,NOT AVAILABLE,pending,false
pld-2022,PLD,Real Estate,2022,test,NOT AVAILABLE,pending,false
pld-2023,PLD,Real Estate,2023,test,NOT AVAILABLE,pending,false
nue-2021,NUE,Materials,2021,test,NOT AVAILABLE,pending,false
nue-2022,NUE,Materials,2022,test,NOT AVAILABLE,pending,false
nue-2023,NUE,Materials,2023,test,NOT AVAILABLE,pending,false
fcx-2021,FCX,Materials,2021,test,NOT AVAILABLE,pending,false
fcx-2022,FCX,Materials,2022,test,NOT AVAILABLE,pending,false
fcx-2023,FCX,Materials,2023,test,NOT AVAILABLE,pending,false
